PO001|01-09-2024 19:43:30|1|Ballpoint Pen|Writing Instruments|Pilot|Blue|0.50|100|ABC Supplies|790|Kuala Lumpur|395.00|Approve|Paid
PO002|02-09-2024 18:43:30|2|Spiral Notebook|Paper Products|Mead|Red|2.99|50|XYZ Distributors|980|Alor Setar|2930.20|Complete|Paid
PO003|08-09-2024 20:43:30|3|Highlighter|Writing Instruments|Stabilo|Yellow|1.25|200|ABC Supplies|650|Pulau Pinang|812.50|Approve|Unpaid
PO004|02-09-2024 18:43:30|4|Glue Stick|Adhesives|UHU|White|0.75|150|XYZ Distributors|120|Alor Setar|90.00|Complete|Unpaid
PO005|08-09-2024 20:43:30|5|Stapler|Office Supplies|Swingline|Black|5.99|30|OfficeMart Supplies|460|Pulau Pinang|2755.40|Pending|Unpaid
PO006|08-09-2024 20:43:30|5|Stapler|Office Supplies|Swingline|Black|5.99|30|OfficeMart Supplies|460|Pulau Pinang|2755.40|Pending|Unpaid
PO007|08-09-2024 20:43:30|5|Stapler|Office Supplies|Swingline|Black|5.99|30|OfficeMart Supplies|460|Pulau Pinang|2755.40|Pending|Unpaid
PO008|08-09-2024 20:43:30|5|Stapler|Office Supplies|Swingline|Black|5.99|30|OfficeMart Supplies|460|Pulau Pinang|2755.40|Approve|Unpaid
PO009|21-09-2024 14:27:23|4|Glue Stick|Adhesives|UHU|White|0.75|150|XYZ Distributors|98|Alor Setar|73.50|Pending|Paid
PO010|21-09-2024 14:42:18|6|Mechanical Pencil|Writing Instruments|Pentel|Silver|3.50|75|ABC Supplies|890|Perak|3115.00|Pending|Paid
PO011|21-09-2024 14:44:43|5|Stapler|Office Supplies|Swingline|Black|5.99|30|OfficeMart Supplies|7890|Cheras|47261.10|Pending|Paid
